28.05	28.05	25.5	25.5	28.05	30.6	35.7	38.25	40.8	45.9	51	51	56.1	61.2	56.1	56.1	51	56.1	51	36.72	48.45	36.72	44.88	39.27	33.66
11	11	10	10	11	12	14	15	16	18	20	20	22	24	22	22	20	22	20	14.4	19	14.4	17.6	15.4	13.2
21.45	21.45	19.5	19.5	21.45	23.4	27.3	29.25	31.2	35.1	39	39	42.9	46.8	42.9	42.9	39	42.9	39	28.08	37.05	28.08	34.32	30.03	25.74
21.45	21.45	19.5	19.5	21.45	23.4	27.3	29.25	31.2	35.1	39	39	42.9	46.8	42.9	42.9	39	42.9	39	28.08	37.05	28.08	34.32	30.03	25.74
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28.6	28.6	26	26	28.6	31.2	36.4	39	41.6	46.8	52	52	57.2	62.4	57.2	57.2	52	57.2	52	37.44	49.4	37.44	45.76	40.04	34.32
10.45	10.45	9.5	9.5	10.45	11.4	13.3	14.25	15.2	17.1	19	19	20.9	22.8	20.9	20.9	19	20.9	19	13.68	18.05	13.68	16.72	14.63	12.54
15.4	15.4	14	14	15.4	16.8	19.6	21	22.4	25.2	28	28	30.8	33.6	30.8	30.8	28	30.8	28	20.16	26.6	20.16	24.64	21.56	18.48
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38.5	38.5	35	35	38.5	42	49	52.5	56	63	70	70	77	84	77	77	70	77	70	50.4	66.5	50.4	61.6	53.9	46.2
25.85	25.85	23.5	23.5	25.85	28.2	32.9	35.25	37.6	42.3	47	47	51.7	56.4	51.7	51.7	47	51.7	47	33.84	44.65	33.84	41.36	36.19	31.02
18.7	18.7	17	17	18.7	20.4	23.8	25.5	27.2	30.6	34	34	37.4	40.8	37.4	37.4	34	37.4	34	24.48	32.3	24.48	29.92	26.18	22.44
7.7	7.7	7	7	7.7	8.4	9.8	10.5	11.2	12.6	14	14	15.4	16.8	15.4	15.4	14	15.4	14	10.08	13.3	10.08	12.32	10.78	9.24
49.5	49.5	45	45	49.5	54	63	67.5	72	81	90	90	99	108	99	99	90	99	90	64.8	85.5	64.8	79.2	69.3	59.4
13.75	13.75	12.5	12.5	13.75	15	17.5	18.75	20	22.5	25	25	27.5	30	27.5	27.5	25	27.5	25	18	23.75	18	22	19.25	16.5
6.05	6.05	5.5	5.5	6.05	6.6	7.7	8.25	8.8	9.9	11	11	12.1	13.2	12.1	12.1	11	12.1	11	7.92	10.45	7.92	9.68	8.47	7.26
33	33	30	30	33	36	42	45	48	54	60	60	66	72	66	66	60	66	60	43.2	57	43.2	52.8	46.2	39.6
24.75	24.75	22.5	22.5	24.75	27	31.5	33.75	36	40.5	45	45	49.5	54	49.5	49.5	45	49.5	45	32.4	42.75	32.4	39.6	34.65	29.7
9.9	9.9	9	9	9.9	10.8	12.6	13.5	14.4	16.2	18	18	19.8	21.6	19.8	19.8	18	19.8	18	12.96	17.1	12.96	15.84	13.86	11.88
7.7	7.7	7	7	7.7	8.4	9.8	10.5	11.2	12.6	14	14	15.4	16.8	15.4	15.4	14	15.4	14	10.08	13.3	10.08	12.32	10.78	9.24
5.5	5.5	5	5	5.5	6	7	7.5	8	9	10	10	11	12	11	11	10	11	10	7.2	9.5	7.2	8.8	7.7	6.6
3.85	3.85	3.5	3.5	3.85	4.2	4.9	5.25	5.6	6.3	7	7	7.7	8.4	7.7	7.7	7	7.7	7	5.04	6.65	5.04	6.16	5.39	4.62
7.15	7.15	6.5	6.5	7.15	7.8	9.1	9.75	10.4	11.7	13	13	14.3	15.6	14.3	14.3	13	14.3	13	9.36	12.35	9.36	11.44	10.01	8.58
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39.05	39.05	35.5	35.5	39.05	42.6	49.7	53.25	56.8	63.9	71	71	78.1	85.2	78.1	78.1	71	78.1	71	51.12	67.45	51.12	62.48	54.67	46.86
9.35	9.35	8.5	8.5	9.35	10.2	11.9	12.75	13.6	15.3	17	17	18.7	20.4	18.7	18.7	17	18.7	17	12.24	16.15	12.24	14.96	13.09	11.22
13.2	13.2	12	12	13.2	14.4	16.8	18	19.2	21.6	24	24	26.4	28.8	26.4	26.4	24	26.4	24	17.28	22.8	17.28	21.12	18.48	15.84
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
